"Citation","Type","Local Location","How It Is Used In Chapter 2"
"Ahsan et al. (2023)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Ahsan_2023_Implementation_of_micro-credentials_in_higher_education.pdf","Definition of micro-credentials, modularity, and component-part logic"
"Alves (2010)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Alves_2010_The_measurement_of_perceived_value_in_higher_education.pdf","Higher education perceived value as a trade-off between benefits, price-quality, and alternatives"
"Amado-Mateus et al. (2023)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Amado-Mateus_2023_Evaluation_of_psychometric_properties_of_perceived_value_applied_to_universities.pdf","Perceived value concept and measurement direction in higher education"
"Deephouse et al. (2017)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Deephouse_Bundy_Tost_Suchman_2017_Organizational_Legitimacy_Six_Key_Questions.pdf","Legitimacy theory foundation"
"Ha et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Ha_2024_Micro-credentials_through_the_eyes_of_employers.pdf","Employer perceptions, doubts over value, and legitimacy barriers"
"Miao et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Miao_2024_Intention_to_use_technology_for_micro-credential_programs.pdf","Contrast source showing adoption-focused student models"
"OECD (2021)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\OECD_2021_Quality_and_value_of_micro-credentials_in_higher_education.pdf","Trust, transparency, recognition, and quality framing"
"OECD (2023)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\OECD_2023_Micro-credentials_for_lifelong_learning_and_employability.pdf","Lifelong learning, employability, and pathways framing"
"OECD (2025)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\OECD_2025_OECD_Skills_Strategy_Thailand.pdf","Thailand context"
"Ohanian (1990)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Ohanian_1990_Source_credibility_scale.pdf","Trustworthiness and expertise measurement logic for credibility judgments"
"Raj et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Raj_2024_Achieving_professional_qualifications_using_micro-credentials.pdf","Challenges around definitions, accreditation, and credibility"
"Reed et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Reed_2024_Assessment_credential_or_both.pdf","Design principles, assessment quality, and evidence of achievement"
"Sharma et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Sharma_2024_Blended_learning_and_augmented_employability.pdf","Multi-stakeholder employability and ecosystem integration"
"Spence (1973)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Spence_1973_Job_market_signaling.pdf","Core signaling theory"
"Tee et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Tee_2024_Marketing_micro-credentials_learners_engagement_and_willingness_to_pay_more.pdf","Learner-side design, engagement, and willingness-to-pay evidence"
"Varadarajan et al. (2023)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Varadarajan_2023_Systematic_review_of_opportunities_and_challenges.pdf","Stakeholder expectations and system-level opportunities/challenges"
"Wang et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Wang_2024_MOOC_learners_continuance_intention_roadmap_to_micro-credentials.pdf","Contrast source showing continuance-focused models adjacent to micro-credentials"
"Zou et al. (2024)","PDF","C:\Users\Lux\Thesis\References\01_Available_PDFs\Zou_2024_Impact_of_micro-credential_learning_on_students_perceived_employability.pdf","Student-side employability and human capital evidence"
