"Source","Status","Folder","Primary Local Item"
"Ahsan et al. (2023)","Available","01_Available_PDFs","Ahsan_2023_Implementation_of_micro-credentials_in_higher_education.pdf"
"Alves (2010)","Available","01_Available_PDFs","Alves_2010_The_measurement_of_perceived_value_in_higher_education.pdf"
"Amado-Mateus et al. (2023)","Available","01_Available_PDFs","Amado-Mateus_2023_Evaluation_of_psychometric_properties_of_perceived_value_applied_to_universities.pdf"
"Anderson and Daugherty (2023)","Pending or closed","03_Pending_or_Closed","Anderson_2023_Community_colleges_can_increase_credential_stacking.url"
"Becker (1964)","Pending or closed","03_Pending_or_Closed","Becker_1964_Human_capital.url"
"Deephouse et al. (2017)","Available","01_Available_PDFs","Deephouse_Bundy_Tost_Suchman_2017_Organizational_Legitimacy_Six_Key_Questions.pdf"
"European Commission (2024)","Available open page","02_Available_Open_Articles","European_Commission_2024_A_European_approach_to_micro-credentials.url"
"Ha et al. (2023)","Pending or closed","03_Pending_or_Closed","Ha_2023_A_systematic_literature_review_of_micro-credentials.url"
"Ha et al. (2024)","Available","01_Available_PDFs","Ha_2024_Micro-credentials_through_the_eyes_of_employers.pdf"
"Ha et al. (2025)","Pending or closed","03_Pending_or_Closed","Ha_2025_Micro-credentials_in_higher_education_perceived_benefits.url"
"Iskandar et al. (2024)","Pending or closed","03_Pending_or_Closed","Iskandar_2024_Students_perceived_value_in_higher_education.url"
"Kanthawala and Peng (2021)","Available","01_Available_PDFs","Kanthawala_Peng_2021_Credibility_in_Online_Health_Communities.pdf"
"Ledden et al. (2011)","Pending or closed","03_Pending_or_Closed","Ledden_2011_The_measurement_of_perceived_value_in_higher_education.url"
"Miao et al. (2024)","Available","01_Available_PDFs","Miao_2024_Intention_to_use_technology_for_micro-credential_programs.pdf"
"Narayanaswamy et al. (2024)","Available open page","02_Available_Open_Articles","Narayanaswamy_2024_Perceived_Value_of_Micro-Credentials.url"
"OECD (2021)","Available","01_Available_PDFs","OECD_2021_Quality_and_value_of_micro-credentials_in_higher_education.pdf"
"OECD (2023)","Available","01_Available_PDFs","OECD_2023_Micro-credentials_for_lifelong_learning_and_employability.pdf"
"OECD (2025)","Available","01_Available_PDFs","OECD_2025_OECD_Skills_Strategy_Thailand.pdf"
"Ohanian (1990)","Available","01_Available_PDFs","Ohanian_1990_Source_credibility_scale.pdf"
"Reed et al. (2024)","Available","01_Available_PDFs","Reed_2024_Assessment_credential_or_both.pdf"
"Raj et al. (2024)","Available","01_Available_PDFs","Raj_2024_Achieving_professional_qualifications_using_micro-credentials.pdf"
"Sharma et al. (2024)","Available","01_Available_PDFs","Sharma_2024_Blended_learning_and_augmented_employability.pdf"
"Spence (1973)","Available","01_Available_PDFs","Spence_1973_Job_market_signaling.pdf"
"Suchman (1995)","Pending or closed","03_Pending_or_Closed","Suchman_1995_Managing_legitimacy.url"
"UNESCO Bangkok (2025)","Available open page","02_Available_Open_Articles","UNESCO_Bangkok_2025_Micro-credentials_support_flexible_lifelong_learning.url"
"Varadarajan et al. (2023)","Available","01_Available_PDFs","Varadarajan_2023_Systematic_review_of_opportunities_and_challenges.pdf"
"Tee et al. (2024)","Available","01_Available_PDFs","Tee_2024_Marketing_micro-credentials_learners_engagement_and_willingness_to_pay_more.pdf"
"Wang et al. (2024)","Available","01_Available_PDFs","Wang_2024_MOOC_learners_continuance_intention_roadmap_to_micro-credentials.pdf"
"Wheelahan and Moodie (2021)","Pending or closed","03_Pending_or_Closed","Wheelahan_2021_Analysing_micro-credentials_in_higher_education.url"
"Zou et al. (2024)","Available","01_Available_PDFs","Zou_2024_Impact_of_micro-credential_learning_on_students_perceived_employability.pdf"
