"Key","Status","SavedFile","AccessUrl","Notes"
"Ahsan_2023","PDF downloaded","Ahsan_2023_Implementation_of_micro-credentials_in_higher_education.pdf","https://doi.org/10.1007/s10639-023-11739-z","Open-access PDF saved."
"Anderson_2023","Shortcut only","Anderson_2023_Community_colleges_can_increase_credential_stacking.url","http://dx.doi.org/10.1080/00221546.2023.2171211","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Becker_1964","Shortcut only","Becker_1964_Human_capital.url","https://press.uchicago.edu/ucp/books/book/chicago/H/bo3684031.html","Web reference or book page saved as shortcut."
"European_Commission_2024","Shortcut only","European_Commission_2024_A_European_approach_to_micro-credentials.url","https://education.ec.europa.eu/education-levels/higher-education/micro-credentials","Web reference or book page saved as shortcut."
"Ha_2023","Shortcut only","Ha_2023_A_systematic_literature_review_of_micro-credentials.url","https://vuir.vu.edu.au/45603/","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Ha_2025","Shortcut only","Ha_2025_Micro-credentials_in_higher_education_perceived_benefits.url","https://doi.org/10.1080/03075079.2025.2516709","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Ha_2024","Shortcut only","Ha_2024_Micro-credentials_through_the_eyes_of_employers.url","https://doi.org/10.1108/et-08-2023-0340","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Iskandar_2024","Shortcut only","Iskandar_2024_Students_perceived_value_in_higher_education.url","https://doi.org/10.1080/23311975.2024.2313789","PDF URL was not directly downloadable here; saved landing-page shortcut instead."
"Ledden_2011","Shortcut only","Ledden_2011_The_measurement_of_perceived_value_in_higher_education.url","https://doi.org/10.1108/09684881111107732","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"OECD_2021","PDF downloaded","OECD_2021_Quality_and_value_of_micro-credentials_in_higher_education.pdf","https://www.oecd.org/content/dam/oecd/en/publications/reports/2021/09/quality-and-value-of-micro-credentials-in-higher-education_7fefd52e/9c4ad26d-en.pdf","Direct official PDF saved."
"OECD_2025","PDF downloaded","OECD_2025_OECD_Skills_Strategy_Thailand.pdf","https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/07/oecd-skills-strategy-thailand_9a4427e8/153a1fe6-en.pdf","Direct official PDF saved."
"Ohanian_1990","Shortcut only","Ohanian_1990_Source_credibility_scale.url","https://doi.org/10.1080/00913367.1990.10673191","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Reed_2024","PDF downloaded","Reed_2024_Assessment_credential_or_both.pdf","https://doi.org/10.1007/s44217-024-00100-2","Open-access PDF saved."
"Spence_1973","Shortcut only","Spence_1973_Job_market_signaling.url","https://doi.org/10.2307/1882010","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"Suchman_1995","Shortcut only","Suchman_1995_Managing_legitimacy.url","https://doi.org/10.5465/amr.1995.9508080331","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
"UNESCO_Bangkok_2025","Shortcut only","UNESCO_Bangkok_2025_Micro-credentials_support_flexible_lifelong_learning.url","https://www.unesco.org/en/articles/how-can-micro-credentials-support-flexible-lifelong-learning-asia-pacific","Web reference or book page saved as shortcut."
"Varadarajan_2023","PDF downloaded","Varadarajan_2023_Systematic_review_of_opportunities_and_challenges.pdf","https://doi.org/10.1186/s41239-023-00381-x","Open-access PDF saved."
"Wheelahan_2021","Shortcut only","Wheelahan_2021_Analysing_micro-credentials_in_higher_education.url","https://doi.org/10.1080/00220272.2021.1887358","PDF URL was not directly downloadable here; saved landing-page shortcut instead."
"Zou_2024","Shortcut only","Zou_2024_Impact_of_micro-credential_learning_on_students_perceived_employability.url","https://doi.org/10.1108/ijem-01-2023-0002","No open-access PDF found from DOI lookup; saved landing-page shortcut instead."
