"Citation","Copied File"
"Ahsan et al. (2023)","Ahsan_2023_Implementation_of_micro-credentials_in_higher_education.pdf"
"Alves (2010)","Alves_2010_The_measurement_of_perceived_value_in_higher_education.pdf"
"Amado-Mateus et al. (2023)","Amado-Mateus_2023_Evaluation_of_psychometric_properties_of_perceived_value_applied_to_universities.pdf"
"Deephouse et al. (2017)","Deephouse_Bundy_Tost_Suchman_2017_Organizational_Legitimacy_Six_Key_Questions.pdf"
"Ha et al. (2024)","Ha_2024_Micro-credentials_through_the_eyes_of_employers.pdf"
"Miao et al. (2024)","Miao_2024_Intention_to_use_technology_for_micro-credential_programs.pdf"
"OECD (2021)","OECD_2021_Quality_and_value_of_micro-credentials_in_higher_education.pdf"
"OECD (2023)","OECD_2023_Micro-credentials_for_lifelong_learning_and_employability.pdf"
"OECD (2025)","OECD_2025_OECD_Skills_Strategy_Thailand.pdf"
"Ohanian (1990)","Ohanian_1990_Source_credibility_scale.pdf"
"Raj et al. (2024)","Raj_2024_Achieving_professional_qualifications_using_micro-credentials.pdf"
"Reed et al. (2024)","Reed_2024_Assessment_credential_or_both.pdf"
"Sharma et al. (2024)","Sharma_2024_Blended_learning_and_augmented_employability.pdf"
"Spence (1973)","Spence_1973_Job_market_signaling.pdf"
"Tee et al. (2024)","Tee_2024_Marketing_micro-credentials_learners_engagement_and_willingness_to_pay_more.pdf"
"Varadarajan et al. (2023)","Varadarajan_2023_Systematic_review_of_opportunities_and_challenges.pdf"
"Wang et al. (2024)","Wang_2024_MOOC_learners_continuance_intention_roadmap_to_micro-credentials.pdf"
"Zou et al. (2024)","Zou_2024_Impact_of_micro-credential_learning_on_students_perceived_employability.pdf"
